DEVICE,CUT_IN_SPEED,RATED_SPEED,CUT_OUT_SPEED,RATED_POWER,ROTOR_DIAMETER
RM1,0.5,2.0,3.0,1100000,20.0
RM1-GS,0.3,1.2,3.0,1100000,43.0
MCT SeaGen,1.0,2.4,3.5,600000,16.0
Alstom DeepGen IV,1.0,2.7,5.0,1000000,18.0
Sabella D10,1.0,4.0,6.0,1000000,10.0
Sabella D15,1.0,4.0,6.0,2500000,15.0
SeaGen-S,1.0,2.5,3.8,1000000,20.0
Atlantis AR1000,0.8,2.65,4.0,1000000,18.0
Atlantis AR2000,0.5,3.05,4.6,2000000,20.0
Voith HyTide 1000,0.9,2.9,4.4,1000000,13.0
HS1000,0.8,2.5,4.6,1000000,21.0
AR1500,1.0,3.0,5.0,1500000,18.0
